"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5","monto_promedio","distancia_promedio","promedio_por_pedido","ganancia"
2954,20258,479,73076,56428,16446,0.105493549149466,0.1071548481896,0.112646996606514,0.11678575771396,0.132490506474811,254807.997286733,0.11491433162687,134762.524398692,120045.472888041
3004,15317,45844,19640,15817,48490,0.0608569690784557,0.08029390074841,0.0869616584438017,0.0887937322387692,0.0895647668050935,274635.147504138,0.081294205462906,110282.813142689,164352.334361449
3130,21078,97,270295,18488,30889,0.0553775062750359,0.0620753255458572,0.124952053858563,0.136030598517289,0.145072993386058,224609.598244088,0.104701695516561,182103.445704909,42506.1525391792
3542,4702,126282,264793,315,261975,0.0870965480279438,0.105281132870659,0.105792844498146,0.107587187534741,0.108839347099293,323186.199777961,0.102919412006157,48742.4327211464,274443.767056814
3584,16980,687,88286,14288,213614,0.0867804970601097,0.0938532776995736,0.115909364716399,0.118427691134585,0.120018658675516,213754.264072806,0.106997897857237,124300.463561964,89453.8005108424
3642,111225,15821,245,5654,294122,0.0683930651144491,0.111736190811906,0.11717577502682,0.125969133069294,0.138523280288962,158281.141275948,0.112359488862286,125170.795912998,33110.3453629498
4061,18328,62487,202126,301973,26104,0.105237360814715,0.110078162247867,0.133983201735109,0.136938961837251,0.138397790780824,189446.56892839,0.124927095483153,131278.841347243,58167.7275811472
5190,151239,198927,19310,53660,51303,0.0494425915859077,0.0681657772798097,0.0730526572623235,0.0820348436254502,0.0834562420550402,204559.787111081,0.0712304223617063,168390.480918728,36169.3061923526
5239,209089,15401,108,58249,21789,0.137376943905136,0.138050532502443,0.144961716202346,0.158798487509665,0.160573361114967,155926.59083598,0.147952208246911,132355.456368351,23571.1344676293
5722,15820,15969,17375,15809,8965,0.0146098388119541,0.077270593251305,0.137155281649483,0.137295064823772,0.154738830350609,206220.448448615,0.104213921777425,83928.3334640508,122292.114984564
5762,22316,258547,15982,505,50843,0.0853638712754501,0.0925038048069727,0.0986890272315838,0.112412933660837,0.113660793785855,274562.508192868,0.10052608615214,237489.12781854,37073.380374328
6164,17792,14313,5142,80182,270459,0.10539099252658,0.162933143616249,0.267084106808332,0.267992841986434,0.268570478113125,209285.695160343,0.214394312610144,101346.659598597,107939.035561746
6375,44268,20275,48259,522,21735,0.0928838420709849,0.0962116980410866,0.118703543159559,0.118892491538886,0.120622810784112,236115.207374659,0.109462877118926,235897.755330761,217.452043897996
6877,266210,136966,2436,157188,270417,0.0420906339145336,0.042101687838074,0.066461780469229,0.0691271356822082,0.074572937119687,587431.315776262,0.0588708350047464,164737.815306056,422693.500470206
6999,23428,19557,471,19588,58287,0.047461499836848,0.0517521196512165,0.0630401604443886,0.065020343792263,0.0679808045747819,167351.110949516,0.0590509856598996,115853.712786803,51497.3981627128
