"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5","monto_promedio_vecinos","distancia_promedio","monto_promedio","ganancia"
2912,47591,278510,989,516,2668,0.0328301820862294,0.0853079947416619,0.0900383066404009,0.0907753049771076,0.0926880092234136,474481.974832782,0.0783279595337627,349979.565330839,124502.409501943
2954,20258,479,73076,56428,16446,0.106645504878668,0.108514502202715,0.113467806304977,0.119286405388245,0.133654589488573,636840.335352557,0.116313761652636,139479.212752646,497361.122599911
3004,15317,45844,19640,15817,16993,0.0616897533265143,0.0816381592327188,0.0872976130819815,0.0899140131510899,0.0950626996470526,686122.538957691,0.0831204476878714,228285.423205366,457837.115752325
3542,4702,126282,264793,315,30657,0.0851673085384769,0.103072847895839,0.106594188573858,0.108751075243235,0.112660601104829,475101.107613363,0.103249204271248,100896.835732773,374204.27188059
3544,122701,348,734,296510,18826,0.120770685023116,0.128250235607492,0.129408160102151,0.138373548489634,0.151733059543378,839626.205634015,0.133707137753154,598504.78032776,241121.425306255
3584,16980,687,88286,14288,213614,0.0876413297049739,0.094695346229263,0.117117658877415,0.119286509696767,0.121201926655351,834122.338221694,0.107988554232754,385952.939359899,448169.398861795
3642,111225,15821,245,5654,294122,0.0715614005031628,0.113059855261307,0.118939154677724,0.127857062355125,0.140865577216838,283965.263798388,0.114456610002831,129551.773769953,154413.490028435
3662,220048,3553,224073,224115,69416,0.056752826333772,0.0571066658347839,0.0805610638189645,0.0836417815304164,0.0856878814817143,611678.803196272,0.0727500437999302,387338.399755571,224340.403440701
4073,277285,5956,71164,21093,234572,0.0328518849463613,0.0718030191100296,0.074940318045115,0.0773330139811205,0.0884298028373567,468299.64593186,0.0690716077839966,167534.943021376,300764.702910484
5185,15313,914,16165,194568,21789,0.0981045932513205,0.0987480282846491,0.106481057683579,0.109265944409019,0.118741822034525,310886.963796545,0.106268289132619,268189.135899573,42697.8278969718
5722,15820,15969,17375,15809,686,0.0147607392441697,0.0759757819417248,0.135990614382147,0.136128857622995,0.159668134521573,725665.847146463,0.104504825542522,173731.650270585,551934.196875878
6164,14313,270459,5142,79903,80182,0.167312060475433,0.271391853656495,0.271886024881346,0.272761019575221,0.272946330279638,782258.476630447,0.251259457773627,209787.585369096,572470.891261351
6999,23428,19557,471,19588,47816,0.0488966895610674,0.0518199831435404,0.0648278547006851,0.0655555214010058,0.0684479215388109,363705.683284552,0.0599095940690219,359725.778203023,3979.9050815294
7496,2343,17778,58249,231014,2345,0.0727757089543077,0.0784608913563103,0.0835758409280778,0.0899511974326353,0.101457319524788,560892.189177399,0.0852441916392238,211319.769239918,349572.419937481
10200,23526,23723,2747,23710,58265,0.136571771292235,0.139565877209889,0.143158322100366,0.152958088845615,0.193076122618599,1028363.56663155,0.153066036413341,236856.78284332,791506.783788233
10813,19557,23428,19588,250399,20314,0.0466479216989796,0.0585216848332457,0.06863530378995,0.0723208003657098,0.0764124396557255,368392.99760683,0.0645076300687221,172758.816342433,195634.181264397
11635,20612,678,75602,31562,47816,0.0607022698214101,0.0646531516569255,0.0788328413496863,0.0818814226827591,0.082137280347243,626515.327208209,0.0736413931716048,364683.927880451,261831.399327758
12875,151152,48996,299243,21041,680,0.110499673942785,0.111279902522395,0.115119868823407,0.116318647098552,0.11692473069347,531238.919722925,0.114028564616122,327488.706078608,203750.213644317
14299,26148,36326,3563,431,47631,0.0622273727826906,0.0622422754206161,0.0859467893602262,0.0868269083973738,0.0953021607285428,763169.986686576,0.0785091013378899,39401.8637347783,723768.122951798
14310,14313,49,80182,79903,5142,0.0929602435189309,0.240889589116209,0.25824790521658,0.258675466374268,0.263852410093264,634427.550188651,0.22292512286385,272864.501349167,361563.048839484
14486,62,5357,110,355,15817,0.00124621655677031,0.0598261044755896,0.110379807854712,0.111274602475466,0.111749856974581,504593.956751835,0.0788953176674238,252753.619084301,251840.337667534
14701,913,22694,176133,18999,18648,0.0751844922449614,0.118244075550911,0.131549150817672,0.138946707770487,0.139067282867599,752478.860199878,0.120598341850326,584737.583159875,167741.277040003
14992,803,19003,141,380,15519,0.0853806201631805,0.116139716776946,0.12709703154077,0.128034637435556,0.128060593768756,670359.216226004,0.116942519937042,399934.292783759,270424.923442245
15514,18118,19528,22085,18341,402,0.0672313656754289,0.0701009702017956,0.085121186398395,0.111567292315699,0.114722257528985,463896.769456588,0.0897486144240607,149571.925488162,314324.843968426
15718,294122,19626,224,15708,195,0.0903219848186602,0.100484402359321,0.102850194010276,0.103088780849244,0.105573677729419,817256.359132499,0.100463807953384,109977.986851454,707278.372281045
15725,145177,16494,17053,29558,207498,0.102651575897387,0.104797327106406,0.111573962016308,0.115321335990297,0.115632851311492,816182.69748421,0.109995410464378,289916.947287811,526265.750196399
15736,84174,207538,18656,3931,15331,0.00627069424033448,0.0986952009518958,0.101657093635308,0.105278432303999,0.115542677188174,441309.996800258,0.0854888196639423,224702.425542724,216607.571257534
