"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5"
16266,778,14368,2346,4792,41,6.9233871921276,7.01303139032779,7.14946074673234,7.57959238360074,7.62221221128103
15431,461,20852,2668,79118,15302,2.65023917937701,2.93242625065518,3.0030376926129,3.09082154523919,3.09887547576391
15868,16591,17254,24194,546,24275,5.69908232804609,5.87815249804805,6.16862418700704,6.28613587603193,6.46400378997126
111225,2147,265,16170,2573,572,2.01395992087532,3.28882466220833,3.77084225071089,4.15647256909202,4.16380472836209
97,442,781,4876,2573,1933,3.1088681689135,3.1260555278455,3.27502801965069,3.32728909682593,3.57340706435216
6181,9313,41056,120924,5956,75545,3.45289068895727,4.03389968693696,4.12888443641934,4.50790695778704,4.82866189700171
3071,431,27977,217447,17650,22021,2.20904368463691,2.65561386851634,2.66926722685675,2.70065486061298,2.76623125867402
20081,62557,68213,105152,19304,50762,3.99710685863874,4.23019064108797,4.4986281166393,4.52512471366868,4.58103566156857
2436,1052,10896,583,182,6516,2.06206311296294,2.22537048808495,2.30384445346229,2.32721136645161,2.53596622856948
3004,278510,47591,247562,16643,447,2.59841229265208,2.858346917895,3.39216231734193,3.4733094561744,3.61231951170759
27972,350,16900,22316,18129,50173,2.85855666066437,2.86950634222261,2.9677568000043,2.99942540440143,3.14373361571372
16171,18143,16793,27977,350,3457,1.68232829696708,2.45359992644573,2.59604506748272,2.60884002973644,2.86075167107953
1174,107,265,23241,290650,15675,2.78575321042573,2.92632098092103,3.27707847432007,3.53516332085033,3.78692234392352
30696,409,45219,17275,15513,41,4.34918166040678,4.77161937121425,5.08424522991105,5.11271882560605,5.21267635268924
245649,41052,40987,444,2524,21368,4.54788658693525,5.81772074608943,6.2928896778899,6.31576615064542,6.835043648563
21773,16086,21499,19014,440,66565,3.43937981636691,3.54157418386136,3.73621602088448,4.13981821267375,4.25220025991064
54657,134405,2832,343,420,124572,2.85938799385973,3.05120594964441,3.28467640176713,3.48896651237373,3.58460093094447
