"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5"
36261,11314,174,23153,3907,21368,0.096577108727987,0.128886340690363,0.146057140932098,0.165517098273239,0.243865197968116
59117,3788,89084,22492,282495,49400,0.0234018587910236,0.131881300602594,0.148237155599663,0.16766037165669,0.182952873366203
47826,78364,27828,448,23229,84856,0.113950947318181,0.120866066196597,0.123548012240858,0.130322534117663,0.135461444303973
499,21736,17407,137089,259360,44920,0.0827764466889828,0.112390678905043,0.150457988666412,0.163002020952712,0.164883394960593
19063,21487,355,16173,2573,447,0.0831432757936723,0.120490149154351,0.121742357336373,0.140446496634171,0.141553321464773
21730,3527,2668,516,15537,989,0.0359959084573464,0.0700119290927114,0.0792086557308085,0.0817089465965773,0.0843379358229806
1213,299243,23997,503,278352,44268,0.0991317388607184,0.0998274261445707,0.101707816970246,0.102991491527726,0.10926763306469
32382,420,284974,79953,101580,323,0.14560279309962,0.159902651543996,0.161621714388177,0.167656878121443,0.171710440243765
286584,213614,22287,2762,16982,22234,0.118000571103096,0.12136068477931,0.126463226402461,0.145619624904114,0.151051820520235
16792,157188,101569,4746,20593,32305,0.334574802399342,0.346041179334183,0.349416276787592,0.351444949934368,0.354182427221654
733,136886,254,333,33184,18656,0.0789147487119217,0.0965254323238882,0.116074766959831,0.127359368826894,0.129362035050586
6164,14313,270459,5142,79903,80182,0.167312060475433,0.271391853656495,0.271886024881346,0.272761019575221,0.272946330279638
15986,75543,17778,58249,26096,85645,0.00468917634379804,0.108144400151119,0.111510370773092,0.113835434892003,0.117556030561482
16032,45862,21789,21812,914,15313,0.0247117942907581,0.107162113551785,0.111439714077032,0.114931299118853,0.115204086914928
346,18338,3299,19028,22529,380,0.185074391482359,0.185910246160158,0.222998886726412,0.223157715980234,0.234196589214525
127020,18826,188,2734,20258,726,0.099376856275261,0.117276754640175,0.117746325264672,0.118621450572318,0.121095793306234
330,5628,5847,491,271680,22014,0.0966338030480507,0.100177821328568,0.124532775772878,0.124873325290463,0.127354420412766
398,399,250392,22923,14194,267,0.0935687286030701,0.102793506637769,0.102827333957627,0.106864452195367,0.107965983641812
24500,217447,16475,47631,26148,36326,0.0661276470593921,0.0735245804957996,0.0901867673918844,0.0908024047175214,0.0908115013968982
48226,58931,2455,61,20849,14624,0.125516213039324,0.13588243536013,0.139463473804998,0.14306090554648,0.146563922614896
17252,265,2669,5357,17961,15524,0.0816270918971686,0.0817939295628055,0.0942771519571629,0.100937978534077,0.103488289155374
3544,122701,348,734,296510,18826,0.120770685023116,0.128250235607492,0.129408160102151,0.138373548489634,0.151733059543378
131,2736,27121,20159,292,22802,0.000167849321387551,0.0354652744755111,0.0477307192100347,0.0540912273505827,0.0613822667936087
397,51545,4981,17313,19554,14194,0.139099466714943,0.144499494931343,0.151057319371896,0.151252579761513,0.15648021759463
16806,27119,130135,124572,300421,924,0.0635202294343123,0.124984781862335,0.125144535169606,0.128290932462087,0.129964563545364
20606,294067,249124,287873,21093,71164,0.0399031725974989,0.0586170424590597,0.0620806119238961,0.0634107980155281,0.0665214249712984
6375,44268,20275,48259,522,881,0.0908308459240428,0.097205579691592,0.119896539310972,0.120076038882759,0.121562265276326
18690,379,2501,385,5654,294122,0.0775197242463914,0.0845521234036325,0.0992103935993949,0.0997708604918598,0.113077503930316
38527,18140,15050,15434,19009,4068,0.0523961912077801,0.115389307522989,0.165120640076194,0.199802332899746,0.211076523845687
253818,19574,250399,21764,19557,27719,0.0380676299547237,0.0442713829925612,0.0483367920499373,0.048645644518512,0.049900539064603
251,713,14497,708,228,830,0.10640001870248,0.163105812700786,0.177941896480122,0.185493307766511,0.233046967096601
269175,221,806,14515,59140,15302,0.00683987393059899,0.0658180495560701,0.090216573949817,0.101041274857353,0.108366658488488
25226,236982,24229,270425,26115,24724,0.03696556360685,0.0503202843088509,0.0515813541076454,0.0518452232067638,0.056027359256428
26645,124544,21487,3220,447,23155,0.03671015038792,0.148915750428073,0.154215355914992,0.15954808350223,0.172222050144028
216271,24023,407,687,2780,14288,0.0996400204063495,0.141485246177171,0.142794657537504,0.144491261089038,0.147569430671
3642,111225,15821,245,5654,294122,0.0715614005031628,0.113059855261307,0.118939154677724,0.127857062355125,0.140865577216838
329,50173,297618,478,31605,5731,0.0000304840082100547,0.00249309115638147,0.0602465966736618,0.0683148868312809,0.0743561771072436
297,185326,53,3461,261,49110,0.147819281733382,0.149477572237464,0.19254414287279,0.199037267332269,0.212785227369048
