"customer_id","monto_promedio"
554,44591.5290909091
555,38580.9027272727
556,69586.7866666667
560,48705.7375
564,40717.7381818182
567,54738.28
568,21086.6
570,105511.733
571,55898.92
572,24968.96
583,37351.0816666667
591,63390.4344444444
593,108402.108333333
594,80009.895
595,67038.2611111111
603,6275.18
609,77860.1875
610,41227.83
618,28036.4
621,8341.36
623,87719.6877777778
624,51867.7
636,12043.515
652,24000.464
654,73832.6645454546
667,24486.9428571429
668,52565.1375
669,8396.69
675,116435.466363636
678,21172.5
680,17530.05
681,67238.3325
683,38580.5742857143
685,51423.1566666667
686,67506.8084210526
687,33630.54
690,25376.19
694,33866.03
697,49025.736
698,11131.32
701,34475.94
703,42131.68
704,99178.0912
705,38916.8822222222
708,56501.6683333333
711,98246.1635714286
713,26442.96375
716,66765.3663636364
720,54143.2927272727
721,55162.272
726,20075.366
733,148076.516
734,126424.446666667
735,55562.57
737,36289.1688888889
741,72677.9541666667
742,43246.808
745,44233.4475
754,33377.263
757,30988.9611111111
760,26307.68
766,31611.802
769,110726.011818182
771,69945.3890909091
778,112912.691764706
781,49541.5236363636
787,43203.47
789,20398.0433333333
793,45980.435
802,67963.4966666667
803,79968.4293333333
806,25858.0671428571
821,31812.834
823,35864.3466666667
825,82141.405
830,41289.15875
849,43170.955
853,31240
856,7870.41
876,49597.1
881,25238.75
897,76512.149
903,23242.8
910,6534
911,107840.679285714
913,85063.2953333333
914,18868.51
920,77290.7153333333
924,61224.739
925,41296.8583333333
928,24451.085
929,6968.6
931,115276.627
940,55145.7209090909
941,50272.8
946,111451.079090909
989,50707.664
995,77988.9161538461
1019,25720
1033,76741.52
1042,72524.072
1052,40890.6769230769
1094,32639.3871428571
1168,41445.1676923077
1172,52286.525
1174,53463.83
1213,29028.97
1375,26605.24875
1401,50023.0828571429
1410,2760
1413,5745
1449,23245.768
1468,14566.41
1493,58156.3578571429
1501,16920.37
1539,41098.9335714286
1551,34600.565
1580,84494.556
1590,46049.1983333333
1593,139565.725
1796,9665.28
1816,40806.64
1848,120648.782857143
1927,9223.14
1933,125760.045714286
2000,70647.6942857143
2013,31603.6
2025,161352.673157895
2133,73247.518
2147,24032.7566666667
2264,7319.98
2343,59427.955
2345,84854.066
2346,42313.5057142857
2349,73432.0738461538
2351,52853.2355555556
2366,36335.3428571429
2371,23241.044
2392,38542.3428571429
2394,19800
2407,47113.5425
2420,55220.214
2421,101255.12
2445,29802.815
2447,32328.7466666667
2455,60101.7933333333
2456,30850.53
2458,47008.425
2472,18214.835
2476,40213.762
2501,52585.4957142857
2510,30458.7733333333
2521,14618.25
2529,34516.8257142857
2573,10372.522
2590,157708.0175
2591,26756.5977777778
2604,3600
2605,9296.98
2612,11885.328
2615,20134.9745454545
2623,79839.63
2633,9079.67
2636,49056.768
2662,65236.2986666667
2667,33509.518
2668,59709.9494117647
2669,44191.1407142857
2682,23939.28
2683,119145.848125
2688,20746.6433333333
2695,39750.8275
2732,59359.5485714286
2734,139856.582307692
2735,37643.63
2736,120224.621176471
2738,81814.0518181818
2747,98965.165625
2762,15610.9975
2773,27573.15375
2780,39008.8127272727
2781,19064.415
2786,6492.93
2794,26404.3827272727
2801,39049.1269230769
2809,144362.433846154
2820,8056
2821,82054.33875
2824,43658.86125
2826,65993.7477777778
2827,147165.161428571
2832,46093.135
2835,32812.08125
2836,5899.41
2872,31437.5357142857
2881,98749.885
2906,90606.8008333333
2912,34100.5
2916,88376.82125
2923,139468.957692308
2927,125706.475238095
2954,8550.75
2955,37006.885
2985,140461.43
3002,109091.193333333
3004,13995
3064,30024.3008333333
3071,93623.8390909091
3092,123654.278571429
3113,15425
3130,48167.58
3220,65700.23
3226,31512.7133333333
3283,23386.685
3287,2953.19
3288,8550.75
3299,25593.94625
3331,46820.4
3347,38203.82
3352,22269.6233333333
3371,50090.1507142857
3408,51721.641875
3413,19419.0625
3444,37741.1445454545
3457,53099.7426666667
3459,20192.5833333333
3461,17679
3462,28721.455
3482,16665.9430769231
3484,9838.02
3507,9330
3515,154639.225384615
3524,15145.9075
3527,96477.48625
3542,6937.66666666667
3544,53183.3944444444
3553,69759.2658333333
3561,23766.8333333333
3563,129431.9
3583,45261.1625
3584,31395
3642,7942.15
3662,25142.3233333333
3663,57658.928
3699,60242.8926666667
3777,119819.013636364
3788,105098.857058824
3790,12511.26
3836,30910.6471428571
3907,2005
3931,38000.9721428571
3963,17450
4061,78333.405
4068,109806.967777778
4073,11740
4201,1616.065
4268,82510.64
4288,66410.861875
4500,17478.7358333333
4548,72847.285625
4586,40577.71
4622,70707.8986666667
4702,50938.4075
4746,39711.3033333333
4792,93612.42
4796,30936.681875
4813,83368.285625
4814,27458.5266666667
4820,128938.904545455
4876,19276.2625
4879,24979
4898,26555.5157142857
4978,68254.1607142857
4981,43373.6381818182
4996,37061.97
5142,61073.098
5156,21580.013
5185,23545.9516666667
5190,66549.536
5208,9181.79
5239,45080.72125
5241,93468.715
5308,43703.6292307692
5330,3165
5357,26413.9666666667
5398,156921.795714286
5623,84596.074
5628,6814.14
5654,13945.4266666667
5683,19910.86
5722,10650.59
5725,6353.72
5731,38636.86
5760,36803.6844444444
5762,92558.1875
5773,49252.5590909091
5786,22587.5316666667
5847,40486.0891666667
5868,37204.861
5876,99415.4235294118
5956,47371.4130769231
6117,81538.4114285714
6139,8390.03
6164,12271.94
6328,70955.8421428571
6459,40502.444
6516,46153.75
6598,27444.313
6599,46588.93
6647,58015.7361538462
6704,13062
6755,80611.5183333333
6763,138975.95
6797,48536.835
6855,51280.0157142857
6877,67114.8966666667
6898,161334.476666667
6999,23150.4042857143
7013,18042.865
7039,39565.856
7496,16711.0625
7516,12940.91
7819,99666.105
7894,11760.45
7921,54749.0693333333
8688,11647.19
8734,149918.485833333
8743,21897.805
8799,75630.4194117647
8800,5855.5
9313,78885.082
9404,12720.43
9568,68928.8423076923
10010,2074.13
10137,99163.1233333333
10175,118079.926666667
10200,17720.5633333333
10251,50792.884375
10256,24954.57
10268,13028.405
10317,28055.9775
10546,103824.022307692
10547,95946.9985714286
10680,6570.84
10682,3312
10813,11823.066
10896,25784.7968181818
11039,85836.9983333333
11314,47949.095
11635,25547.9554545455
12170,14206.7527272727
12322,54794.565
12464,35037.85875
12875,19157.1
14181,14847.8425
14194,125961.702857143
14197,5923.31
14199,4490.26
14288,29657.8066666667
14299,2304.89
14310,19446.48
14313,128158.480526316
14383,68552.16375
14391,19179.5071428571
14392,18054.705
14486,16584
14497,46606.8025
14515,76734.952
14624,162824.916363636
14634,94779.9288235294
14699,76030.0069230769
14701,41511.8466666667
14702,127466.941111111
14811,112025.954347826
14840,41079.901
14896,19033.7425
14965,22735.83625
14973,58011.9883333333
14985,70748.2745454546
14992,33895.745
15050,37903.9391666667
15300,50247.9466666667
15302,42380.3477777778
15306,64347.0033333333
15313,59941.445
15317,38802.145
15331,50629.134
15401,20967.1771428571
15412,84804.5223076923
15413,48183.0816666667
15421,38445.0633333333
15434,106979.512
15513,95784.4853846154
15514,8951.57
15519,57792.464
15521,6674.49
15524,48968.2863636364
15537,82164.7922222222
15666,47618.8164285714
15671,63288.2392307692
15675,16804.08
15683,29088.1328571429
15687,45787.359
15708,50132.729
15718,6433.38
15725,17551.955
15736,13588.9675
15747,19697.3725
15809,85788.8342105263
15813,6593.88
15814,45026.6371428571
15816,11706.542
15817,28847.356
15820,62153.5344444444
15821,12590.56
15826,11236.7866666667
15833,6743.815
15834,23653.904
15841,37871.1916666667
15842,27180.355
15868,58014.6525
15879,117478.534444444
15880,103998.515
15969,34561.608
15972,63200.6325
15980,32841.01
15982,7028.235
15986,137170.108571429
15990,85971.0728571429
15996,152890.216153846
15999,78705.49
16006,6932.04
16032,24150.8133333333
16053,55389.913
16057,99521.8392857143
16086,79331.5957142857
16158,16530.0333333333
16159,55964.4854545455
16161,11190.74
16165,25129.6133333333
16170,10528.1666666667
16171,25141.93
16173,50064.8463636364
16179,72674.466
16186,75991.0905555556
16193,36146.0366666667
16261,13169.02
16262,24500.0057142857
16263,70582.6908333333
16264,57651.36
16266,13639.4666666667
16267,30676.78875
16274,64162.3017647059
16283,58198.2183333333
16309,12166.3333333333
16327,27941.98
16330,45406.8516666667
16339,49261.7033333333
16438,71021.8564285714
16446,34447.5228571429
16454,27928.715
16475,10582
16494,29599.5933333333
16571,36932.73
16572,84046.6826666667
16587,74110.1933333333
16591,42348.6145454545
16596,60779.80625
16597,123469.38
16614,81113.0581818182
16640,60305.24875
16643,9838.02
16647,11190.74
16785,26851.52
16789,39369.6425
16792,49991.9130769231
16793,19131.974
16796,34008.5657142857
16806,49563.1525
16839,45285.9157142857
16876,79704.936
16881,33692.016
16900,20108.1625
16906,40048.06
16908,29285.6414285714
16970,68158.8442857143
16972,8805.02
16974,70650.2266666667
16975,37208.5766666667
16980,80028.5516666667
16982,27530.4163636364
16983,113938.5675
16986,98375.7561111111
16993,81336.9481818182
16998,85236.6964285714
17000,55475.5633333333
17015,121578.42625
17053,144579.458181818
17182,14954.265
17184,10969.68
17190,45623.3825
17216,78402.451
17252,31435.8890909091
17254,119748.489565217
17258,51261.67625
17263,27368.41
17275,55114.023
17304,32201.802
17312,53026.6022222222
17313,33860.12
17375,18828.5666666667
17377,30008.2675
17389,51539.4476923077
17395,84753.7785714286
17404,55980.58
17407,25616.5
17413,9838.02
17434,34130.53
17584,9838.02
17617,58021.8492857143
17621,16242.7866666667
17627,101985.202142857
17636,43754.58
17776,9397.915
17778,37400.2085714286
17782,31517.76625
17786,10526.68
17793,84148.8125
17807,20621.53
17832,11031.5
17854,86183.4927272727
17930,41097.0366666667
17931,72812.23
17933,105761.402941176
17935,93977.015
17936,42094.7611111111
17938,79542.7325
17939,61479.1776923077
17942,118472.761
17945,30138.3725
17946,9307.53
17950,89942.8181818182
17960,32028.56
17961,26942.19
18013,76733.3663636364
18019,11781.03
18104,6566.88
18105,34298.2833333333
18109,42325.8344444444
18110,22267.3133333333
18118,62315.9557142857
18119,50339.9725
18121,42795.37
18125,5242.74
18129,22577.66
18140,48491.9425
18143,98011.5566666667
18146,123226.33
18165,14443.52
18175,29949.6133333333
18194,42232.2708333333
18226,30826.92
18314,39386.3583333333
18319,45476.77
18323,136950.028125
18324,92080.3616666667
18328,21140
18330,8759.274
18334,11166.15
18337,57792.625
18338,73050.8644444444
18341,53924.5492307692
18343,66133.382
18344,16092.7675
18348,82761.2805263158
18351,96200.85
18352,9838.02
18458,56244.2730769231
18463,34561.74
18467,103437.762
18473,8526.28
18476,73691.03
18479,47712.47375
18483,11310.34
18488,111348.918571429
18492,35581.28
18500,11872.3333333333
18502,8344.89
18636,8835.77
18638,46824
18641,46900.51
18646,27722.958
18647,64424.4091666667
18648,75148.8725
18650,61053.6055555556
18651,141497.766666667
18656,13892.045
18657,8526.28
18662,30019.7485714286
18677,39168.485
18679,29081.3563636364
18690,8550.75
18694,9259.48
18701,55685.5209090909
18705,89338.4736363636
18784,100575.195714286
18797,155491.900909091
18799,23167.885
18800,40642.492
18808,27928.1483333333
18810,45715.49
18812,47043.2933333333
18819,41670.9733333333
18823,41350.2957894737
18825,123849.583684211
18826,63796.4
18828,38044.6466666667
18831,34423.4455555556
18832,8423.8
18833,73732.95
18836,24501.7685714286
18839,40114.658
18840,27643.8125
18846,31465.3428571429
18858,12840.2933333333
18872,53518.1185714286
18999,23337.2388888889
19000,8056
19001,84440.7330769231
19003,42371.0581818182
19006,62284.3369230769
19007,39364.6125
19008,49488.4881818182
19009,9773.75
19010,40639.4081818182
19013,29027.5483333333
19014,143527.592307692
19023,51636.566
19028,32236.115
19033,53323.56
19040,62224.2091666667
19055,67700.23
19063,11758.47
19292,93014.9923809524
19302,43431.27125
19304,75855.58625
19310,13605.5
19314,81577.358
19316,33572.9333333333
19320,15023.1933333333
19324,45970.66
19326,13385.88
19327,51921.4385714286
19338,74794.3
19365,62224.0657142857
19528,22496.5057142857
19534,85139.5871428571
19540,146396.403333333
19541,25754.7333333333
19544,105832.68
19545,62782.0727272727
19547,99900.5791666667
19552,29417.9816666667
19554,58654.1718181818
19556,104712.563636364
19557,29418.625
19574,14685.5
19577,11130.1566666667
19578,148488.547777778
19588,8879.5
19626,115050.365
19640,78515.008
19915,35006.1733333333
19917,40683.02
20032,36935.083
20052,25301.814
20056,27736.03
20058,9236.36
20062,146647.505454545
20073,128994.881666667
20080,91493.9653846154
20081,26143.295
20096,27323.18
20128,52883.8833333333
20133,62954.53
20135,38589.1825
20146,31344.8283333333
20159,43211.268
20254,2538
20256,32384.5766666667
20258,125829.86
20262,51475.3315384615
20266,29941.7858333333
20270,47418.8833333333
20271,142312.309230769
20273,85911.1885714286
20275,109182.303333333
20279,38469.6
20284,8028
20285,41951.63
20288,30703.06
20303,20185.14
20314,39167.96
20318,21646.1172727273
20322,41473.74375
20341,4562.19
20357,10629.8
20560,48240.1871428571
20576,21478.2
20583,8386
20589,26208
20593,72550.465
20600,34442.6192857143
20603,9888.835
20604,21028.5083333333
20605,22095.49625
20606,13529.4
20610,61054.5236363636
20612,30895.391
20628,32321.0158333333
20633,55533.858
20642,51578.6109090909
20656,47462.9271428571
20672,34982.5576923077
20681,149478.607692308
20707,72519.4733333333
20794,143768.46
20825,12721.505
20830,19177.72
20833,90742.8953846154
20835,54910.9505
20836,33776.65
20838,13995
20839,22485.675
20840,20347.77
20842,21351.8254545455
20846,13788.1433333333
20849,7488.15666666667
20852,128202.009
20854,21603.62
20857,18614.5825
20861,160289.821
20863,13984.215
20864,17818.545
20866,20015.45
20868,38344.94
20869,151368.286666667
20885,3138
20947,55229.2311111111
21041,40045.5907692308
21042,28648.2381818182
21051,54754.3158333333
21055,96031.5936363636
21058,23835.4766666667
21059,98932.7223529412
21060,118158.54
21061,57215.78
21064,32843.559
21066,76879.5115384615
21067,79719.6466666667
21071,10259.75
21078,30896.4
21080,66905.29
21083,60247.2641666667
21088,64748.109
21092,61988.6986666667
21093,8564.62
21094,21632.1766666667
21095,4665
21097,52342.96
21102,27750.9
21115,8419.14
21116,11825.745
21119,26438.63
21122,68056.5566666667
21126,30569.4285714286
21262,13826.1
21368,137517.14
21377,78725.19
21475,37804.8571428571
21477,9960
21478,99929.802
21482,82718.3590909091
21487,17249.8
21488,126223.129
21489,8040
21490,38482.6566666667
21495,29203.9685714286
21496,18402.4771428571
21499,70845.2515384615
21501,107467.945384615
21505,16091.09
21513,48373.05625
21514,26998.428
21516,11535.0066666667
21523,58658.0166666667
21524,26868.905
21527,11060.88
21528,106033.894615385
21530,29604.4077777778
21574,16268.43
21713,22031.85
21717,7077
21721,18099.4575
21723,33011.491
21728,28160.392
21730,13826.1
21734,25259.074
21735,31707.5108333333
21736,24221.6066666667
21737,28360.784
21741,47155.1733333333
21744,34761.0938461538
21745,41104.256
21752,27962.1766666667
21761,45296.5266666667
21762,135962.95
21764,75280.715
21765,49044.1
21773,53891.9375
21776,51294.4985714286
21778,19466.1
21783,56194.34
21789,8215.8
21803,32373.8111111111
21812,44793.306
21847,77811.4
21975,33941.376
21976,8598.9
21991,152750.652307692
21994,73462.315
22000,10640
22005,41785.7154545455
22006,9410.04333333333
22009,24343.83
22014,49507.1185714286
22017,51153.1336363636
22022,40944.734
22039,78933.7707692308
22073,21853.82
22083,29923.6033333333
22085,37911.44
22104,13688.31
22150,39768.1066666667
22214,75664.8257142857
22218,60149.64
22231,32911.0688888889
22234,117218.066666667
22235,95807.7854545455
22244,62572.2416666667
22250,18156.5
22251,11676.3333333333
22255,15416.22
22287,66810.3925
22316,33056.625
22329,44459.742
22333,35741.2
22341,12591.5275
22457,40142.388
22460,19528.925
22469,102086.4835
22470,22665.1
22473,38758.4322222222
22474,90175.9469230769
22481,51928.84
22492,52376.33
22496,46061.7927272727
22500,91457.1844444444
22502,7876.26
22504,25067.7871428571
22509,98356.3369230769
22520,67617.8158333333
22529,11666.88
22583,17254.71
22686,23414.22
22687,9750
22694,49953.4
22802,52500.2483333333
22891,45417.6333333333
22900,34500.9014285714
22923,15657.68
22932,36670.7211111111
22941,159752.63
23153,111628.225
23155,121134.028
23185,103504.981
23193,93540.1733333333
23229,26832.97
23241,27234.5775
23410,104149.298181818
23423,39700.98
23425,16920
23428,32048.188
23431,10080
23461,29610.633
23492,74125.4828571429
23514,31504.8636363636
23526,14135.4666666667
23629,8202
23638,37018.5311111111
23640,155779.07
23656,28873
23657,24192.045
23664,50137.1954545455
23667,11059
23683,137738.501666667
23706,33866.01
23710,130692.176363636
23714,32805.455
23723,119824.273
23939,16102.5166666667
23941,26974.1392307692
23947,141519.093333333
23961,34970.8633333333
23979,115438.276153846
23980,38704.1116666667
23993,32148.87
23997,29780.8375
24023,25894.21
24131,20426.2975
24194,145296.484666667
24204,44377.47
24212,24814.6275
24221,18155.5
24224,40234.184375
24229,22774.824
24230,46470.4592307692
24275,11785.3966666667
24288,43816.5
24321,33461.8781818182
24330,36015.3275
24342,62737.9585714286
24346,37707.61375
24349,108253.648666667
24409,31310.1966666667
24418,49497.7728571429
24432,44614.406
24433,35127.6822222222
