"id","lat","lon","geometry","estaciones_servicio_200mts","estaciones_servicio_1000mts","subtes_200mts","subtes_1000mts","id_rc","porc_nbi","hacinamiento","densidad_pob","porc_mujeres","porc_varones","uni_privada_200mts","uni_publica_200mts","uni_privada_1000mts","uni_publica_1000mts","estadios_200mts","estadios_1000mts","river_1500mts","boca_1500mts","clubes_200mts","clubes_1000mts","tienda_mas_cercana","escuelas_cercanas_200m","escuelas_cercanas_1000m","paradas_cercanas_200m","paradas_cercanas_1000m","everdes_cercanos_200m","everdes_cercanos_1000m","hay_bicicleteros_200m","hospitales_cercanos_200m","hospitales_cercanos_1000m","distancia_al_hospital_mas_cercano","parroquias_cercanas_200m","parroquias_cercanas_1000m","comuna","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado","producto_1","producto_2","producto_3","producto_4","producto_5","categoria_1","categoria_2","categoria_3","categoria_4","categoria_5"
"bytearray(b'Y~K~g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5980516,-58.4444958,"POINT (-58.4444958 -34.5980516)",0,4,0,2,1586,0.00475059382422802,2.26128266033254,287135380.545542,0.55672268907563,0.44327731092437,0,0,0,0,0,1,0,0,2,5,62.3913739070685,3,44,3,112,0,6,0,0,0,1645.45409218285,0,1,15,3,24,4,0,2,0,0,3,22,0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7622300833909","7790577002219","7622300869878","7622300869915","7790290101602",53,195,54,197,0
"bytearray(b'y2\xe0zg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.601501,-58.372414,"POINT (-58.372414 -34.601501)",0,0,0,10,236,0.175675675675676,1.70945945945946,30104545.1996184,0.494071146245059,0.505928853754941,2,0,8,4,0,1,0,0,1,3,0,5,32,0,128,0,59,0,0,0,3700.82451614683,0,2,1,3,27,6,0,1,0,0,3,26,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"7792798003761","7793147118884","7792798011254","7796073001107","7796073001152",194,55,48,3,9
"bytearray(b'yk\x1a\xdbg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5727194,-58.4833659,"POINT (-58.4833659 -34.5727194)",0,2,0,2,747,0.00190114068441064,2.38973384030418,320934637.864307,0.536992840095465,0.463007159904535,0,0,0,1,0,0,0,0,0,1,56.2319195508996,0,46,3,91,0,22,1,0,0,1716.23906332547,0,3,12,2,27,6,0,3,0,0,2,24,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7795735000328","7795735000335","7795735000175","7795735000342","7790895064333",48,197,4,196,162
"bytearray(b'Yn9Lg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5670504,-58.4452819,"POINT (-58.4452819 -34.5670504)",0,3,0,2,1240,0,3.18394648829431,86495770.0705539,0.564075630252101,0.435924369747899,0,0,3,1,0,0,0,0,0,3,180.189217037616,1,37,1,62,1,11,0,0,0,1841.2079438764,0,4,14,1,27,1,0,6,0,2,1,19,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"7792798001965","7792798002528","7792798003563","7792798003587","0",194,0,0,0,0
"bytearray(b'Ys!\xf4HzC;\xba\xcbT\x06\x80n>\x82')",-34.5847149,-58.488355,"POINT (-58.488355 -34.5847149)",0,3,0,0,1648,0.0107142857142857,2.7,144792317.891571,0.544973544973545,0.455026455026455,0,0,0,0,0,0,0,0,0,6,0,0,16,4,47,0,6,0,0,0,1954.88267802262,0,4,15,1,13,3,0,0,0,0,1,13,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7790206006106","7791249450208","7790040613607","7790040930506","7790380002840",55,194,54,3187,4
"bytearray(b'YvA\xb1g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5985069,-58.396044,"POINT (-58.396044 -34.5985069)",0,1,0,7,1821,0.00346620450606585,1.94280762564991,569296856.515139,0.578055307760928,0.421944692239072,0,1,18,7,0,0,0,0,1,4,44.2103061673509,8,109,7,201,0,9,1,0,0,1877.01920955488,0,5,2,2,52,9,0,11,0,3,2,38,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7791813423072","7790315000446","7791813420118","7793147118822","7798062547801",194,5,6,9,193
"bytearray(b'z-\xd4ag\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5432981,-58.472724,"POINT (-58.472724 -34.5432981)",0,4,0,0,876,0.00601202404809619,2.14629258517034,192262372.72287,0.555555555555556,0.444444444444444,0,0,0,0,0,0,0,0,0,1,56.0460393189863,0,20,9,82,2,21,1,0,0,2946.03390931872,0,3,12,2,17,7,0,1,0,0,2,16,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"5553232225000","366277935829245","7792798005888","7798119220015","7798119220183",5,9,194,6,195
"bytearray(b'Z B\xd3g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5938086,-58.3958153,"POINT (-58.39581529999999 -34.5938086)",0,1,0,5,1809,0.0487012987012987,2.31168831168831,433079215.272829,0.570224719101124,0.429775280898876,0,0,8,7,0,0,0,0,0,2,0.00000000093132257,6,82,2,173,0,20,1,0,0,1329.90612571847,0,5,2,2,50,11,0,10,0,4,2,36,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7790290001179","7790290101602","0","0","0",197,0,0,0,0
"bytearray(b'Z E\x85g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6081843,-58.3973626,"POINT (-58.39736259999999 -34.6081843)",0,0,0,6,1977,0.240088105726872,2.05726872246696,607722085.166834,0.550321199143469,0.449678800856531,2,0,13,1,0,0,0,0,1,3,100.400616376831,3,92,4,187,0,2,0,0,0,1871.27137043338,0,2,3,3,33,4,2,4,0,2,1,27,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Promocongreso5","Gaseosa1","7790895646775","101310918427966","7792798005888",194,5,9,3187,4
"bytearray(b'Z(DRg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6301307,-58.3673599,"POINT (-58.3673599 -34.6301307)",0,1,0,0,2296,0.0114155251141553,2.84246575342466,948303042.578968,0.552610441767068,0.447389558232932,0,0,0,1,0,2,0,1,0,3,141.818021109068,1,40,0,105,1,22,0,0,2,285.993693281769,0,1,4,1,18,1,0,1,0,1,1,16,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7795735000328","7795735000335","7792798001965","7790387015225","7792540260138",48,195,194,32,58
