"id","geometry","longitude","latitude","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado"
"bytearray(b'\xb8yL_g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.410926 -34.583425)",-58.410926,-34.583425,0,29,5,0,8,0,2,0,19,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb9\x1d\xec\xc6g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.42408309999996 -34.6120205)",-58.4240831,-34.6120205,2,36,6,0,5,0,2,2,29,3,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'\xb9\x81p:g\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.508838 -34.6110384)",-58.508838,-34.6110384,1,11,2,0,2,0,1,1,8,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb9\x8a\xc9vg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.43387319999999 -34.6271217)",-58.4338732,-34.6271217,2,29,9,0,6,0,0,2,23,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb9\x94,\x90g\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.39348539999999 -34.6114388)",-58.3934854,-34.6114388,2,35,8,0,3,0,2,2,30,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb9\xc9\xc3xg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.44422679999999 -34.6384489)",-58.4442268,-34.6384489,0,12,4,0,2,0,0,0,10,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb9\xeab\xc4\xc9\xf2F+\xaef\xd1\x85\x8c\xe6\x0b9')","POINT (-58.4122446 -34.6061403)",-58.4122446,-34.6061403,1,33,2,1,6,0,1,0,26,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb9\xf5\xacsv1J\xd8\xba\x81\xc6\xe8\xddd\xfe/')","POINT (-58.5129208 -34.6015519)",-58.5129208,-34.6015519,1,4,3,0,2,0,0,1,2,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xba\'j\x7fg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.473919 -34.6757574)",-58.473919,-34.6757574,0,11,0,0,1,0,0,0,10,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xba\x02\t\x8eg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.45343279999999 -34.6205475)",-58.4534328,-34.6205475,0,17,2,0,4,0,2,0,11,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xba\x0b_rg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.39693490000002 -34.5917452)",-58.3969349,-34.5917452,2,40,10,0,8,0,3,2,29,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'\xba\x14\xa5\x8cg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3927109 -34.6149214)",-58.3927109,-34.6149214,0,33,9,0,4,0,3,0,26,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xba\x14\xb1\x9dg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4210545 -34.5963126)",-58.4210545,-34.5963126,2,37,5,0,5,0,1,2,31,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xba\x1e\xd0!u\xffK0\x96l\x82\xb5\x8cx\x0c\xfa')","POINT (-58.43793969999999 -34.5881291)",-58.4379397,-34.5881291,1,23,2,0,1,0,0,1,22,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xba\xafy\xc9g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.437012 -34.634716)",-58.437012,-34.634716,3,14,5,0,2,0,0,3,12,0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xba\xd6\\\xe6g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.404626399999984 -34.6005173)",-58.4046264,-34.6005173,2,32,17,0,7,0,1,2,24,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xba\xd6`\xf7g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4520503 -34.5785164)",-58.4520503,-34.5785164,1,23,9,0,3,0,2,1,18,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xbac\x186y\xc4L\x9b\xb1_\xd6\xc4\xa8?\xcfe')","POINT (-58.50794670000001 -34.66189939999999)",-58.5079467,-34.6618994,1,8,1,0,0,0,1,1,7,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xbaCkk\xff\x9cF\xa2\x8f\x14\x18\x0cI\xaf\x97T')","POINT (-58.4589043 -34.6050476)",-58.4589043,-34.6050476,3,14,5,1,1,0,3,2,10,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xbaoA\xd8(\xcfO\xb2\x83N5\x06\x82\xe9\xbc\x97')","POINT (-58.41292609999999 -34.6136486)",-58.4129261,-34.6136486,1,37,8,0,6,0,2,1,29,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xbaw=~g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.489636 -34.6016236)",-58.489636,-34.6016236,2,19,2,1,2,0,0,1,17,0,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xbb\x91\xbe\x0eg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.37153920000001 -34.6194178)",-58.3715392,-34.6194178,1,24,4,0,2,0,1,1,21,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xbb\xc0\x9b\x14g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.452351299999975 -34.6020609)",-58.4523513,-34.6020609,0,15,3,0,2,0,0,0,13,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xbb\xc9\xe9\xc0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.45151659999999 -34.58597950000001)",-58.4515166,-34.5859795,1,22,6,0,1,0,1,1,20,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xbb\xd3\x81\xf3g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4140051 -34.5938445)",-58.4140051,-34.5938445,2,32,15,0,6,0,3,2,23,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xbb\xd3s\tg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.44830899999999 -34.568277)",-58.448309,-34.568277,2,31,3,0,5,0,1,2,25,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xbb\xe9s\xa9\r\xe9A\x92\x99R\xa9:\xdb\xc3U\xdb')","POINT (-58.5126475 -34.65938210000001)",-58.5126475,-34.6593821,1,11,3,0,0,0,1,1,10,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xbb\xea\x01\xdag\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4667241 -34.5808161)",-58.4667241,-34.5808161,0,19,1,0,2,0,2,0,15,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xbb~\xf0\x7fg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4278153 -34.5954646)",-58.4278153,-34.5954646,2,34,9,0,4,0,2,2,28,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xbbBK\xb0g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3734707 -34.6322173)",-58.3734707,-34.6322173,0,17,5,0,4,0,1,0,12,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xbbH\xca\tg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.44601460000001 -34.581663)",-58.4460146,-34.581663,0,26,1,0,1,0,1,0,24,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
