id,lat,lon,geometry,estaciones_servicio_200mts,estaciones_servicio_1000mts,subtes_200mts,subtes_1000mts,id_rc,porc_nbi,hacinamiento,densidad_pob,porc_mujeres,porc_varones,uni_privada_200mts,uni_publica_200mts,uni_privada_1000mts,uni_publica_1000mts,estadios_200mts,estadios_1000mts,river_1500mts,boca_1500mts,clubes_200mts,clubes_1000mts
"bytearray(b'\x13\x9d\xec\xfcg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.589656,-58.4120941,POINT (-58.4120941 -34.589656),0.0,0.0,0.0,3.0,1405,0.005050505050505051,1.9974747474747474,379818962.57854855,0.5941845764854614,0.40581542351453853,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0
"bytearray(b'\x13\x9e\x01\xd3g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.569679,-58.4780597,POINT (-58.4780597 -34.569679),0.0,3.0,0.0,0.0,729,0.01968503937007874,2.236220472440945,117463077.73481043,0.5633802816901409,0.43661971830985913,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0
"bytearray(b'\x13\x9e\x03Qg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.58764620000001,-58.49377140000001,POINT (-58.49377140000001 -34.58764620000001),0.0,5.0,0.0,0.0,846,0.0,2.800699300699301,140715609.15017363,0.5355805243445693,0.46441947565543074,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x13\xa2U\xa0g\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5484738,-58.4549692,POINT (-58.4549692 -34.5484738),0.0,2.0,0.0,0.0,1165,0.011111111111111112,2.422222222222222,3784482.3337097825,0.5229357798165137,0.47706422018348627,0.0,0.0,3.0,0.0,0.0,4.0,1,0,1.0,6.0
"bytearray(b'\x13\xa5\xf8Rg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6414742,-58.43164340000001,POINT (-58.43164340000001 -34.6414742),0.0,4.0,0.0,0.0,3064,0.026392961876832845,2.7859237536656893,127939800.4173193,0.5336842105263158,0.4663157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x13\xb4\xa1%g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.592895,-58.413181,POINT (-58.413181 -34.592895),0.0,2.0,0.0,2.0,1888,0.0117096018735363,1.7728337236533958,774193360.3133225,0.6116248348745046,0.38837516512549536,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b'\x13\xb4\xa2Xg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6124657,-58.456296,POINT (-58.456296 -34.6124657),0.0,4.0,0.0,0.0,2677,0.05136986301369863,2.1301369863013697,337582923.44308364,0.5610932475884244,0.43890675241157556,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b'\x13\xb4\xa7Zg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.61266854,-58.3770524,POINT (-58.3770524 -34.61266854),0.0,4.0,1.0,11.0,36,0.005970149253731343,2.265671641791045,149441642.63203356,0.5177865612648221,0.48221343873517786,0.0,0.0,7.0,2.0,0.0,0.0,0,0,0.0,5.0
"bytearray(b'\x13\xb4\xa8\xa5g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6124267,-58.4044394,POINT (-58.4044394 -34.6124267),1.0,6.0,0.0,5.0,2009,0.12709030100334448,2.682274247491639,342229344.89681214,0.5374064837905237,0.4625935162094763,0.0,0.0,5.0,1.0,0.0,0.0,0,0,0.0,1.0
"bytearray(b'\x13\xb4\xa9\x10g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6231237,-58.5211413,POINT (-58.5211413 -34.6231237),0.0,1.0,0.0,0.0,284,0.014164305949008499,2.764872521246459,94967962.04794097,0.5225409836065574,0.4774590163934426,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x13\xb4\xa9\x80g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6100953,-58.3726619,POINT (-58.3726619 -34.6100953),0.0,1.0,1.0,10.0,23,0.3274336283185841,4.849557522123894,40267829.2762725,0.4279197080291971,0.5720802919708029,0.0,0.0,10.0,4.0,0.0,0.0,0,0,0.0,3.0
"bytearray(b'\x13\xbd\x185g\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.579312,-58.4124853,POINT (-58.4124853 -34.579312),0.0,1.0,0.0,1.0,1310,0.004807692307692308,2.019230769230769,297760849.4966925,0.55,0.45,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,1.0
