"id","lat","lon","geometry","estaciones_servicio_200mts","estaciones_servicio_1000mts","subtes_200mts","subtes_1000mts","id_rc","porc_nbi","hacinamiento","densidad_pob","porc_mujeres","porc_varones","uni_privada_200mts","uni_publica_200mts","uni_privada_1000mts","uni_publica_1000mts","estadios_200mts","estadios_1000mts","river_1500mts","boca_1500mts","clubes_200mts","clubes_1000mts","tienda_mas_cercana","escuelas_cercanas_200m","escuelas_cercanas_1000m","paradas_cercanas_200m","paradas_cercanas_1000m","everdes_cercanos_200m","everdes_cercanos_1000m","hay_bicicleteros_200m","hospitales_cercanos_200m","hospitales_cercanos_1000m","distancia_al_hospital_mas_cercano","parroquias_cercanas_200m","parroquias_cercanas_1000m","comuna","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado"
"bytearray(b'a\x10m8g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6041319,-58.4049642,"POINT (-58.4049642 -34.6041319)",0,3,2,9,2151,0,2.84918032786885,400178098.95118,0.602991944764097,0.397008055235903,0,0,4,3,0,0,0,0,0,3,53.2753470296286,2,69,18,202,0,4,1,0,0,1559.7146803438,0,1,3,2,32,14,0,8,0,1,2,23,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'A\x84p2g\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5785768,-58.488602,"POINT (-58.48860200000001 -34.5785768)",0,2,0,2,771,0,2.40469973890339,563598226.02167,0.568946796959826,0.431053203040174,0,0,1,0,0,0,0,0,0,2,132.29586711042,2,45,2,70,1,20,0,0,0,2284.19020774787,0,4,12,1,20,3,0,3,0,1,1,16,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'A\x87\xfdEg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6351211,-58.4513154,"POINT (-58.45131540000001 -34.6351211)",0,2,0,2,2920,0.0277777777777778,2.67592592592593,116587873.195403,0.541522491349481,0.458477508650519,0,0,1,0,0,0,0,0,0,4,0,0,41,0,63,1,15,0,0,0,1227.28665062482,0,3,7,0,17,2,0,3,0,1,0,13,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'A\x8c\xf04g\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5936738,-58.4100527,"POINT (-58.41005269999999 -34.5936738)",0,2,0,5,1859,0.00943396226415094,1.97358490566038,532543536.576027,0.583173996175908,0.416826003824092,0,0,3,2,0,0,0,0,0,1,0,6,76,5,123,1,9,1,0,1,235.251424660244,0,3,2,2,33,6,0,7,1,3,1,23,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'a\xa0\xf7~g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6034095,-58.4285372,"POINT (-58.42853719999999 -34.60340950000001)",0,4,0,2,2643,0.0125448028673835,2.03225806451613,453148356.946474,0.564373897707231,0.435626102292769,0,0,2,3,0,0,0,0,0,4,36.9718052918617,5,61,7,107,0,13,1,0,2,719.427440161871,0,2,5,3,38,11,1,3,0,2,2,33,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'a\xa0\xf9\xf1g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6352248,-58.4701194,"POINT (-58.47011939999999 -34.6352248)",0,4,0,1,3118,0.0510204081632653,2.6530612244898,182085544.276466,0.533653846153846,0.466346153846154,0,0,3,0,0,0,0,0,0,2,0,1,31,1,83,0,14,0,0,0,1497.07778567722,0,2,7,0,15,4,0,2,0,0,0,13,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'a\xa9\t0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5885928,-58.5068524,"POINT (-58.5068524 -34.5885928)",0,1,0,0,854,0,2.49776785714286,183083082.514853,0.537980339588919,0.462019660411081,0,0,1,0,0,0,0,0,0,2,0.00000000186264514923096,1,25,2,58,0,6,0,0,0,1609.23395420765,0,3,12,0,11,6,0,1,0,0,0,10,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"bytearray(b'a\xa9\x04pg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6201083,-58.3909396,"POINT (-58.39093959999999 -34.62010829999999)",0,3,0,3,88,0.0170454545454545,1.98863636363636,437584902.550727,0.565714285714286,0.434285714285714,0,1,2,1,0,0,0,0,0,2,2.52187251939963,0,79,10,151,0,12,0,0,1,495.058085470317,0,1,1,2,29,15,0,0,0,2,2,27,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xa9\x05\xf2g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5914096,-58.4036856,"POINT (-58.4036856 -34.5914096)",0,2,0,6,1790,0.00403225806451612,3.06451612903226,236115005.8859,0.551315789473684,0.448684210526316,0,0,3,2,0,0,0,0,0,0,75.2252851713089,7,68,0,141,1,10,0,0,2,936.565848594957,0,5,2,0,44,10,0,10,0,3,0,31,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xa9\x07\xcfg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6471391,-58.485248,"POINT (-58.485248 -34.6471391)",1,4,0,0,3321,0.0591715976331361,3.08284023668639,125211212.032477,0.538387715930902,0.461612284069098,0,0,0,0,0,0,0,0,0,3,130.730463538161,0,22,5,61,1,17,0,0,0,3393.35011210489,0,3,9,0,10,2,0,0,0,0,0,10,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xa9\x07<g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5707676,-58.4488784,"POINT (-58.4488784 -34.5707676)",0,3,0,2,1137,0.00321543408360128,1.98070739549839,587930364.930284,0.574675324675325,0.425324675324675,0,0,1,1,0,0,0,0,0,1,219.972231945609,1,50,0,64,0,6,1,0,0,2443.89582145497,0,3,13,2,25,3,0,4,0,1,2,20,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'a\xa9\x08\xbdg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5937362,-58.4033329,"POINT (-58.4033329 -34.5937362)",0,1,2,4,1795,0.00601202404809619,2.25250501002004,693016235.446136,0.558718861209964,0.441281138790036,0,0,3,7,0,0,0,0,0,0,66.3873546989112,2,77,9,132,0,8,1,0,1,974.568941604472,0,4,2,1,45,9,0,9,0,3,1,33,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xb1\n\xc7g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.586725,-58.502517,"POINT (-58.502517 -34.58672499999999)",0,1,0,0,857,0.0136986301369863,2.52054794520548,98864052.0179109,0.543478260869565,0.456521739130435,0,0,0,0,0,0,0,0,0,4,96.5821665419176,1,27,5,69,0,4,0,0,0,2028.65114255249,0,2,12,2,13,2,1,1,0,0,1,12,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"bytearray(b'a\xb1\n9g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6047698,-58.4195704,"POINT (-58.4195704 -34.6047698)",0,3,0,4,2668,0.0043103448275862,2.26724137931034,496219579.601758,0.5893536121673,0.4106463878327,0,0,4,2,0,0,0,0,1,5,12.9049075982957,1,58,12,124,0,5,1,0,0,1553.56946317941,0,3,5,3,40,10,0,7,0,2,3,31,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'a\xb1\t\xcfg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.603584,-58.449102,"POINT (-58.449102 -34.603584)",0,5,0,0,1609,0.060126582278481,2.68354430379747,244804778.276286,0.530660377358491,0.469339622641509,0,0,0,0,0,0,0,0,1,4,124.493046896749,2,29,0,84,0,9,0,0,0,1258.93930282406,0,1,15,0,24,3,0,2,0,0,0,22,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'a\xb1\tGg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6187435,-58.389461,"POINT (-58.389461 -34.6187435)",0,4,0,3,85,0.104026845637584,2.47651006711409,291332149.906424,0.551490514905149,0.448509485094851,0,0,3,1,0,0,0,0,0,1,123.140159693835,3,78,5,146,0,11,0,0,1,742.180948106763,0,1,1,0,33,9,0,1,0,2,0,30,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xb1\x06vg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6186034,-58.3972498,"POINT (-58.3972498 -34.6186034)",0,6,0,5,2096,0.137426900584795,2.30116959064327,236423857.175693,0.561626429479034,0.438373570520966,0,0,2,1,0,0,0,0,0,1,36.8011675626795,1,75,4,137,0,11,0,0,1,659.335657331324,0,3,3,1,24,10,0,0,0,3,1,21,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xb1\x0c\x19g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6233341,-58.4124241,"POINT (-58.4124241 -34.6233341)",0,2,0,2,2560,0.0363636363636364,2.44848484848485,169193110.932865,0.540841584158416,0.459158415841584,0,0,0,1,0,0,0,0,0,4,88.1790068441618,0,59,1,111,1,3,0,0,1,828.999021884511,0,1,5,2,27,4,0,0,0,2,2,25,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xb1\x0csg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.606819,-58.41705,"POINT (-58.41705 -34.606819)",0,6,0,4,2671,0.0181818181818182,2.20454545454545,350527749.239217,0.556701030927835,0.443298969072165,0,0,1,2,0,0,0,0,0,4,13.3442320964962,3,51,2,129,0,8,1,0,0,1585.07691268268,0,3,5,1,39,5,0,8,0,2,1,29,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'a\xb9&\xbdg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.587147,-58.503217,"POINT (-58.503217 -34.587147)",0,1,0,0,857,0.0136986301369863,2.52054794520548,98864052.0179109,0.543478260869565,0.456521739130435,0,0,0,0,0,0,0,0,0,4,96.5821665419176,1,28,4,69,0,4,0,0,0,1942.19493808726,0,2,12,2,14,3,1,1,0,0,1,13,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\xb9\'\xb9g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.597259,-58.42849,"POINT (-58.42849 -34.59725900000001)",0,3,0,1,1673,0.170506912442396,2.35023041474654,255968207.891351,0.53921568627451,0.46078431372549,0,0,1,3,0,0,0,0,0,3,100.175487927944,1,49,0,111,0,5,1,0,0,1426.26767145365,0,3,15,2,38,4,0,4,0,1,2,33,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
